Presidential Race 1,Presidential Race 2,Immigration 1,Immigration 2,Immigration 3,Abortion 1,Abortion 2,Abortion 3,Abortion 4,Foreign Policy 1,Foreign Policy 2,Foreign Policy 3,Foreign Policy 4,Discrimination 1,Discrimination 2,Climate Change 1,Climate Change 2,Misinformation 1,Misinformation 2,Misinformation 3,Misinformation 4,Misinformation 5,Most Important Problems (MIP) Facing the Country 1,Most Important Problems (MIP) Facing the Country 3,Most Important Problems (MIP) Facing the Country 4,Most Important Problems (MIP) Facing the Country 5,Most Important Problems (MIP) Facing the Country 6,Most Important Problems (MIP) Facing the Country 7,Most Important Problems (MIP) Facing the Country 8,Most Important Problems (MIP) Facing the Country 9,Most Important Problems (MIP) Facing the Country 10,Most Important Problems (MIP) Facing the Country 11,Most Important Problems (MIP) Facing the Country 12,Most Important Problems (MIP) Facing the Country 13,Issue ownership 1,Issue ownership 2,Issue ownership 3,Issue ownership 4,Issue ownership 5,Issue ownership 6,Issue ownership 7,Issue ownership 8,Issue ownership 9,Issue ownership 10
-0.3333,1.0,0.0,0.0,0.6667,1.0,0.4,0.2,0.0,4.0,,,1.0,3.0,3.0,3.4286,2.6667,1.0,1.0,1.0,0.0,0.5,0.0,4.1111,5.0,5.0,5.0,4.0,5.0,5.0,3.5714,4.4444,4.0,3.8333,-0.1429,0.0,1.0,0.9,1.0,0.1667,0.4286,0.2,1.0,1.0
0.1111,0.7143,-1.0,-1.0,-1.0,1.0,1.0,-1.0,0.0,4.0,4.0,4.6,1.0,3.5,2.4,1.0,4.0,1.0,,1.0,,1.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.8,5.0,5.0,5.0,0.8,0.5,0.7,1.0,0.7,1.0,1.0,-0.1,0.5,0.7
,,0.0,0.0,0.1,,1.0,1.0,1.0,3.0,3.0,3.2,,5.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.1,0.0,0.0,0.5
0.0,0.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,4.0,-1.0,4.0,2.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-1.0,1.0,1.0,1.0,0.2,0.2,0.8,1.0,1.0,0.0
0.5,1.0,-0.4,0.0,0.9,0.6,1.0,0.2,0.2,3.0,3.0,3.0,-0.4,4.1,3.0,4.0,4.0,1.0,1.0,1.0,0.5,1.0,0.9,4.8,5.0,5.0,5.0,4.9,5.0,5.0,5.0,5.0,5.0,5.0,-0.3,0.0,0.0,1.0,0.2,0.2,-0.6,-0.1,0.1,0.7
,,0.0,,0.0,,,,,,3.0,,,3.0,3.0,,,1.0,0.0,1.0,1.0,0.0,1.0,,4.8,4.5,5.0,3.5,,4.0,4.0,5.0,3.5,4.0,0.0,0.1429,0.1429,0.8889,-0.25,-0.2,0.0,0.1667,0.1667,0.25
-0.2,0.4286,-0.8,-0.6,1.0,-1.0,0.4,0.2,0.8,2.5,3.4,3.1,-1.0,4.0,4.1,1.9,1.9,1.0,0.3,0.0,0.6,0.5,1.0,5.0,5.0,5.0,4.5,5.0,5.0,4.8889,4.0,4.8889,4.7,5.0,-0.2,0.2,0.0,0.4,0.0,-0.2,-0.2,0.2,0.0,-0.3
1.0,0.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,5.0,5.0,5.0,1.0,5.0,5.0,1.0,1.0,1.0,,1.0,,,0.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,0.0,-0.3,0.0,0.0,-0.1,-0.8,0.0,0.0,0.0,-0.3
,,-1.0,0.0,,,,1.0,,,3.0,3.0,,3.0,3.0,4.0,1.3,1.0,1.0,1.0,0.0,0.5,1.0,4.75,5.0,4.1,5.0,,4.9,4.6,,4.6667,4.0,4.3333,0.0,0.0,0.0,1.0,0.1111,0.0,0.0,0.0,0.0,0.0
-0.2,0.8,-1.0,-1.0,0.0,1.0,0.3,-0.2,1.0,4.1,5.0,5.0,0.8,5.0,5.0,1.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.4,0.8,0.2,0.0,0.2,0.0,-0.1,0.1,-0.1,0.2
,0.5,-0.8,1.0,1.0,1.0,0.0,0.0,0.0,4.75,5.0,5.0,0.5,3.0,3.0,4.0,3.0,1.0,0.8,1.0,1.0,0.0,0.0,4.0,4.0,4.0,4.0,4.1,4.0,4.0,4.6,5.0,4.0,3.3,-0.4,0.7778,0.2222,1.0,0.8,0.5556,-0.3333,-0.2,-0.1429,0.9
-0.1429,-0.3333,0.0,-0.6,1.0,0.0,1.0,1.0,1.0,3.0,3.4286,4.375,-0.8,5.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,0.1,4.75,5.0,5.0,5.0,4.8889,5.0,5.0,4.5,5.0,4.8,5.0,0.0,0.5,0.4,1.0,0.5,0.6,-0.1,0.0,0.0,0.1
1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,-1.0,3.0,2.0,4.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,0.8,1.0,0.5,1.0,0.8,0.2,0.1429,0.6,0.3,-0.2
1.0,0.0,-1.0,0.125,1.0,1.0,0.0,1.0,1.0,3.0,4.0,4.0,-1.0,3.0,3.0,4.0,4.0,1.0,0.0,0.9,1.0,0.0,0.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,3.0,4.0,2.0,4.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.1,0.6,0.3
,1.0,-1.0,1.0,0.0,1.0,-0.6,-0.9,-0.6,3.0,3.0,3.0,,5.0,3.9,3.2,4.0,0.0,1.0,0.4444,0.0,0.8571,0.0,4.1,4.4,4.3,5.0,3.0,4.2857,4.1111,3.5,4.125,4.2857,4.3333,-0.4286,0.2,0.1,0.7778,-0.1667,0.0,0.5,-0.2222,1.0,-0.25
0.0,0.0,-0.25,0.7,-1.0,0.4,0.8,0.8,1.0,2.75,3.0,2.6,0.4286,3.0,2.9,1.4,2.1,1.0,0.0,1.0,1.0,0.0,0.0,3.4,5.0,3.8,5.0,2.8,5.0,3.5,1.9,5.0,3.4,4.5,0.1,0.3,0.5,0.1,0.2,0.2,0.3,0.3,0.0,0.1
1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,3.0,3.0,4.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,1.0,0.3,0.6,1.0,1.0,0.9,0.6,0.0,0.0,0.5
1.0,1.0,-1.0,-1.0,0.0,1.0,1.0,1.0,1.0,3.2222,4.0,3.0,-1.0,3.0,3.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,5.0,4.0,4.7,4.0,4.3,4.0,4.0,4.0,4.0,4.0,0.1,0.7,0.8,0.5,0.2,0.2,0.2,0.1,0.1,0.7
,,,,,,,,,,,,,,,,4.0,,,,,,,,5.0,,5.0,,,,,,,,,,,,,,,,,
1.0,1.0,-1.0,,1.0,1.0,1.0,-1.0,-1.0,4.0,4.0,4.0,-1.0,5.0,4.0,,,0.0,0.0,1.0,1.0,1.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,0.0,0.5,-0.4,0.0,0.1,0.8,0.4,0.5,0.4,0.0
1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,-1.0,3.0,3.0,3.0,1.0,3.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,5.0,5.0,5.0,3.0,3.0,3.0,5.0,5.0,3.0,5.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,0.0,0.0,0.0
,,,1.0,,,1.0,,1.0,3.25,3.0,3.0,,3.0,3.0,4.0,2.8,1.0,,,,,0.9,,4.6,4.8,5.0,4.0,3.5,4.3,3.6667,5.0,3.4,4.8,,0.0,,,1.0,,0.0,0.0,0.0,
0.2,0.1111,0.9,-0.8,1.0,1.0,0.6,0.0,0.2,3.0,3.0,3.5,-1.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,4.8,5.0,5.0,5.0,5.0,4.0,4.1,4.8,5.0,5.0,-0.4,0.1,0.3,1.0,0.8,1.0,0.0,-0.1,0.1,1.0
-0.2,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,4.0,4.0,,3.0,3.0,4.0,4.0,1.0,,1.0,,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,-1.0,-0.1,0.1,1.0,1.0,-1.0,0.0,0.0,-0.1,0.1
0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5.0,3.0,5.0,1.0,4.0,3.0,4.0,4.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,-1.0,-1.0,-1.0,-0.4,-0.6,-1.0,-1.0,-1.0,-1.0,-0.4
