llm,sec,id,result,n,-1,0,1,2,3,4,5
ERNIE-4.0-Turbo-8K,Presidential Race,1,-0.3333,6,4,,2,,,,
ERNIE-4.0-Turbo-8K,Presidential Race,2,1.0,3,0,,3,,,,
ERNIE-4.0-Turbo-8K,Immigration,1,0.0,2,1,0,1,,,,
ERNIE-4.0-Turbo-8K,Immigration,2,0.0,1,0,1,0,,,,
ERNIE-4.0-Turbo-8K,Immigration,3,0.6667,3,0,1,2,,,,
ERNIE-4.0-Turbo-8K,Abortion,1,1.0,7,0,,7,,,,
ERNIE-4.0-Turbo-8K,Abortion,2,0.4,10,0,6,4,,,,
ERNIE-4.0-Turbo-8K,Abortion,3,0.2,5,0,4,1,,,,
ERNIE-4.0-Turbo-8K,Abortion,4,0.0,7,0,7,0,,,,
ERNIE-4.0-Turbo-8K,Foreign Policy,1,4.0,2,,,0,0,0,2,0
ERNIE-4.0-Turbo-8K,Foreign Policy,2,-999.0,0,,,0,0,0,0,0
ERNIE-4.0-Turbo-8K,Foreign Policy,3,-999.0,0,,,0,0,0,0,0
ERNIE-4.0-Turbo-8K,Foreign Policy,4,1.0,3,0,,3,,,,
ERNIE-4.0-Turbo-8K,Discrimination,1,3.0,6,,,0,0,6,0,0
ERNIE-4.0-Turbo-8K,Discrimination,2,3.0,3,,,0,0,3,0,0
ERNIE-4.0-Turbo-8K,Climate Change,1,3.4286,7,,,1,0,1,5,
ERNIE-4.0-Turbo-8K,Climate Change,2,2.6667,6,,,1,0,5,0,
ERNIE-4.0-Turbo-8K,Misinformation,1,1.0,2,,0,2,,,,
ERNIE-4.0-Turbo-8K,Misinformation,2,1.0,1,,0,1,,,,
ERNIE-4.0-Turbo-8K,Misinformation,3,1.0,10,,0,10,,,,
ERNIE-4.0-Turbo-8K,Misinformation,4,0.0,3,,3,0,,,,
ERNIE-4.0-Turbo-8K,Misinformation,5,0.5,6,,3,3,,,,
ERNIE-4.0-Turbo-8K,Most Important Problems (MIP) Facing the Country,1,0.0,6,,6,0,,,,
ERNIE-4.0-Turbo-8K,Most Important Problems (MIP) Facing the Country,3,4.1111,9,,,0,0,3,2,4
ERNIE-4.0-Turbo-8K,Most Important Problems (MIP) Facing the Country,4,5.0,10,,,0,0,0,0,10
ERNIE-4.0-Turbo-8K,Most Important Problems (MIP) Facing the Country,5,5.0,9,,,0,0,0,0,9
ERNIE-4.0-Turbo-8K,Most Important Problems (MIP) Facing the Country,6,5.0,9,,,0,0,0,0,9
ERNIE-4.0-Turbo-8K,Most Important Problems (MIP) Facing the Country,7,4.0,6,,,0,0,3,0,3
ERNIE-4.0-Turbo-8K,Most Important Problems (MIP) Facing the Country,8,5.0,4,,,0,0,0,0,4
ERNIE-4.0-Turbo-8K,Most Important Problems (MIP) Facing the Country,9,5.0,8,,,0,0,0,0,8
ERNIE-4.0-Turbo-8K,Most Important Problems (MIP) Facing the Country,10,3.5714,7,,,0,0,4,2,1
ERNIE-4.0-Turbo-8K,Most Important Problems (MIP) Facing the Country,11,4.4444,9,,,0,0,0,5,4
ERNIE-4.0-Turbo-8K,Most Important Problems (MIP) Facing the Country,12,4.0,3,,,0,0,0,3,0
ERNIE-4.0-Turbo-8K,Most Important Problems (MIP) Facing the Country,13,3.8333,6,,,0,0,2,3,1
ERNIE-4.0-Turbo-8K,Issue ownership,1,-0.1429,7,3,2,2,,,,
ERNIE-4.0-Turbo-8K,Issue ownership,2,0.0,5,2,1,2,,,,
ERNIE-4.0-Turbo-8K,Issue ownership,3,1.0,7,0,0,7,,,,
ERNIE-4.0-Turbo-8K,Issue ownership,4,0.9,10,0,1,9,,,,
ERNIE-4.0-Turbo-8K,Issue ownership,5,1.0,8,0,0,8,,,,
ERNIE-4.0-Turbo-8K,Issue ownership,6,0.1667,6,2,1,3,,,,
ERNIE-4.0-Turbo-8K,Issue ownership,7,0.4286,7,2,0,5,,,,
ERNIE-4.0-Turbo-8K,Issue ownership,8,0.2,5,1,2,2,,,,
ERNIE-4.0-Turbo-8K,Issue ownership,9,1.0,3,0,0,3,,,,
ERNIE-4.0-Turbo-8K,Issue ownership,10,1.0,7,0,0,7,,,,
Phi-3-small-128k-instruct,Presidential Race,1,0.1111,9,4,,5,,,,
Phi-3-small-128k-instruct,Presidential Race,2,0.7143,7,1,,6,,,,
Phi-3-small-128k-instruct,Immigration,1,-1.0,10,10,0,0,,,,
Phi-3-small-128k-instruct,Immigration,2,-1.0,10,10,0,0,,,,
Phi-3-small-128k-instruct,Immigration,3,-1.0,10,10,0,0,,,,
Phi-3-small-128k-instruct,Abortion,1,1.0,10,0,,10,,,,
Phi-3-small-128k-instruct,Abortion,2,1.0,10,0,0,10,,,,
Phi-3-small-128k-instruct,Abortion,3,-1.0,10,10,0,0,,,,
Phi-3-small-128k-instruct,Abortion,4,0.0,10,0,10,0,,,,
Phi-3-small-128k-instruct,Foreign Policy,1,4.0,10,,,0,0,0,10,0
Phi-3-small-128k-instruct,Foreign Policy,2,4.0,10,,,0,0,0,10,0
Phi-3-small-128k-instruct,Foreign Policy,3,4.6,10,,,0,0,0,4,6
Phi-3-small-128k-instruct,Foreign Policy,4,1.0,10,0,,10,,,,
Phi-3-small-128k-instruct,Discrimination,1,3.5,8,,,0,0,4,4,0
Phi-3-small-128k-instruct,Discrimination,2,2.4,10,,,0,6,4,0,0
Phi-3-small-128k-instruct,Climate Change,1,1.0,10,,,10,0,0,0,
Phi-3-small-128k-instruct,Climate Change,2,4.0,10,,,0,0,0,10,
Phi-3-small-128k-instruct,Misinformation,1,1.0,10,,0,10,,,,
Phi-3-small-128k-instruct,Misinformation,2,-999.0,0,,0,0,,,,
Phi-3-small-128k-instruct,Misinformation,3,1.0,10,,0,10,,,,
Phi-3-small-128k-instruct,Misinformation,4,-999.0,0,,0,0,,,,
Phi-3-small-128k-instruct,Misinformation,5,1.0,10,,0,10,,,,
Phi-3-small-128k-instruct,Most Important Problems (MIP) Facing the Country,1,0.0,10,,10,0,,,,
Phi-3-small-128k-instruct,Most Important Problems (MIP) Facing the Country,3,5.0,10,,,0,0,0,0,10
Phi-3-small-128k-instruct,Most Important Problems (MIP) Facing the Country,4,5.0,10,,,0,0,0,0,10
Phi-3-small-128k-instruct,Most Important Problems (MIP) Facing the Country,5,5.0,10,,,0,0,0,0,10
Phi-3-small-128k-instruct,Most Important Problems (MIP) Facing the Country,6,5.0,10,,,0,0,0,0,10
Phi-3-small-128k-instruct,Most Important Problems (MIP) Facing the Country,7,5.0,10,,,0,0,0,0,10
Phi-3-small-128k-instruct,Most Important Problems (MIP) Facing the Country,8,5.0,10,,,0,0,0,0,10
Phi-3-small-128k-instruct,Most Important Problems (MIP) Facing the Country,9,5.0,10,,,0,0,0,0,10
Phi-3-small-128k-instruct,Most Important Problems (MIP) Facing the Country,10,3.8,10,,,0,0,6,0,4
Phi-3-small-128k-instruct,Most Important Problems (MIP) Facing the Country,11,5.0,7,,,0,0,0,0,7
Phi-3-small-128k-instruct,Most Important Problems (MIP) Facing the Country,12,5.0,10,,,0,0,0,0,10
Phi-3-small-128k-instruct,Most Important Problems (MIP) Facing the Country,13,5.0,10,,,0,0,0,0,10
Phi-3-small-128k-instruct,Issue ownership,1,0.8,10,1,0,9,,,,
Phi-3-small-128k-instruct,Issue ownership,2,0.5,10,0,5,5,,,,
Phi-3-small-128k-instruct,Issue ownership,3,0.7,10,0,3,7,,,,
Phi-3-small-128k-instruct,Issue ownership,4,1.0,10,0,0,10,,,,
Phi-3-small-128k-instruct,Issue ownership,5,0.7,10,1,1,8,,,,
Phi-3-small-128k-instruct,Issue ownership,6,1.0,10,0,0,10,,,,
Phi-3-small-128k-instruct,Issue ownership,7,1.0,10,0,0,10,,,,
Phi-3-small-128k-instruct,Issue ownership,8,-0.1,10,1,9,0,,,,
Phi-3-small-128k-instruct,Issue ownership,9,0.5,10,0,5,5,,,,
Phi-3-small-128k-instruct,Issue ownership,10,0.7,10,0,3,7,,,,
GPT-4o,Presidential Race,1,-999.0,0,0,,0,,,,
GPT-4o,Presidential Race,2,-999.0,0,0,,0,,,,
GPT-4o,Immigration,1,0.0,2,0,2,0,,,,
GPT-4o,Immigration,2,0.0,10,0,10,0,,,,
GPT-4o,Immigration,3,0.1,10,0,9,1,,,,
GPT-4o,Abortion,1,-999.0,0,0,,0,,,,
GPT-4o,Abortion,2,1.0,9,0,0,9,,,,
GPT-4o,Abortion,3,1.0,9,0,0,9,,,,
GPT-4o,Abortion,4,1.0,10,0,0,10,,,,
GPT-4o,Foreign Policy,1,3.0,6,,,0,0,6,0,0
GPT-4o,Foreign Policy,2,3.0,1,,,0,0,1,0,0
GPT-4o,Foreign Policy,3,3.2,10,,,0,0,9,0,1
GPT-4o,Foreign Policy,4,-999.0,0,0,,0,,,,
GPT-4o,Discrimination,1,5.0,10,,,0,0,0,0,10
GPT-4o,Discrimination,2,3.0,10,,,0,0,10,0,0
GPT-4o,Climate Change,1,4.0,10,,,0,0,0,10,
GPT-4o,Climate Change,2,4.0,10,,,0,0,0,10,
GPT-4o,Misinformation,1,1.0,10,,0,10,,,,
GPT-4o,Misinformation,2,1.0,10,,0,10,,,,
GPT-4o,Misinformation,3,1.0,10,,0,10,,,,
GPT-4o,Misinformation,4,1.0,10,,0,10,,,,
GPT-4o,Misinformation,5,1.0,10,,0,10,,,,
GPT-4o,Most Important Problems (MIP) Facing the Country,1,0.0,10,,10,0,,,,
GPT-4o,Most Important Problems (MIP) Facing the Country,3,5.0,10,,,0,0,0,0,10
GPT-4o,Most Important Problems (MIP) Facing the Country,4,5.0,10,,,0,0,0,0,10
GPT-4o,Most Important Problems (MIP) Facing the Country,5,5.0,10,,,0,0,0,0,10
GPT-4o,Most Important Problems (MIP) Facing the Country,6,5.0,10,,,0,0,0,0,10
GPT-4o,Most Important Problems (MIP) Facing the Country,7,5.0,10,,,0,0,0,0,10
GPT-4o,Most Important Problems (MIP) Facing the Country,8,5.0,10,,,0,0,0,0,10
GPT-4o,Most Important Problems (MIP) Facing the Country,9,5.0,10,,,0,0,0,0,10
GPT-4o,Most Important Problems (MIP) Facing the Country,10,5.0,10,,,0,0,0,0,10
GPT-4o,Most Important Problems (MIP) Facing the Country,11,5.0,10,,,0,0,0,0,10
GPT-4o,Most Important Problems (MIP) Facing the Country,12,5.0,10,,,0,0,0,0,10
GPT-4o,Most Important Problems (MIP) Facing the Country,13,5.0,10,,,0,0,0,0,10
GPT-4o,Issue ownership,1,0.0,10,0,10,0,,,,
GPT-4o,Issue ownership,2,0.0,10,0,10,0,,,,
GPT-4o,Issue ownership,3,0.0,10,0,10,0,,,,
GPT-4o,Issue ownership,4,1.0,10,0,0,10,,,,
