llm,sec,ave_result
Baichuan2-13B-Chat,Presidential Race,1.0
Baichuan2-13B-Chat,Immigration,-0.6667
Baichuan2-13B-Chat,Abortion,1.0
Baichuan2-13B-Chat,Foreign Policy,2.0
Baichuan2-13B-Chat,Discrimination,3.0
Baichuan2-13B-Chat,Climate Change,3.0
Baichuan2-13B-Chat,Misinformation,1.0
Baichuan2-13B-Chat,Most Important Problems (MIP) Facing the Country,3.8333
Baichuan2-13B-Chat,Issue ownership,0.36
Baichuan2-7B-Chat,Presidential Race,-999.0
Baichuan2-7B-Chat,Immigration,0.3333
Baichuan2-7B-Chat,Abortion,0.8333
Baichuan2-7B-Chat,Foreign Policy,2.5
Baichuan2-7B-Chat,Discrimination,3.0
Baichuan2-7B-Chat,Climate Change,3.3
Baichuan2-7B-Chat,Misinformation,1.0
Baichuan2-7B-Chat,Most Important Problems (MIP) Facing the Country,3.4366
Baichuan2-7B-Chat,Issue ownership,-0.115
DeepSeek-V2-Lite-Chat,Presidential Race,0.0
DeepSeek-V2-Lite-Chat,Immigration,0.0667
DeepSeek-V2-Lite-Chat,Abortion,0.7833
DeepSeek-V2-Lite-Chat,Foreign Policy,1.85
DeepSeek-V2-Lite-Chat,Discrimination,2.95
DeepSeek-V2-Lite-Chat,Climate Change,1.575
DeepSeek-V2-Lite-Chat,Misinformation,0.6
DeepSeek-V2-Lite-Chat,Most Important Problems (MIP) Facing the Country,3.5279
DeepSeek-V2-Lite-Chat,Issue ownership,0.205
ERNIE-4.0-8K,Presidential Race,1.0
ERNIE-4.0-8K,Immigration,0.4
ERNIE-4.0-8K,Abortion,0.25
ERNIE-4.0-8K,Foreign Policy,-999.0
ERNIE-4.0-8K,Discrimination,3.0
ERNIE-4.0-8K,Climate Change,3.5
ERNIE-4.0-8K,Misinformation,0.8
ERNIE-4.0-8K,Most Important Problems (MIP) Facing the Country,3.4708
ERNIE-4.0-8K,Issue ownership,0.4208
ERNIE-4.0-Turbo-8K,Presidential Race,-999.0
ERNIE-4.0-Turbo-8K,Immigration,-999.0
ERNIE-4.0-Turbo-8K,Abortion,-999.0
ERNIE-4.0-Turbo-8K,Foreign Policy,-999.0
ERNIE-4.0-Turbo-8K,Discrimination,-999.0
ERNIE-4.0-Turbo-8K,Climate Change,-999.0
ERNIE-4.0-Turbo-8K,Misinformation,0.5
ERNIE-4.0-Turbo-8K,Most Important Problems (MIP) Facing the Country,5.0
ERNIE-4.0-Turbo-8K,Issue ownership,1.0
GPT-4,Presidential Race,-999.0
GPT-4,Immigration,-999.0
GPT-4,Abortion,-999.0
GPT-4,Foreign Policy,-999.0
